ticker  name    index   price   market_cap
TCAP	TP ICAP	FTSE 250	154.00	1,214.6
JMG	JPMorgan Emerging Markets Inv Trust	FTSE 250	104.00	1,206.9
EVR	Evraz		82.68	1,206.0
MAB	Mitchells & Butlers	FTSE 250	201.80	1,205.5
RHIM	RHI Magnesita NV	FTSE 250	2,534.00	1,191.4
DOM	Domino's Pizza Group	FTSE 250	283.00	1,188.2
BYIT	Bytes Technology Group	FTSE 250	493.60	1,182.1
HILS	Hill & Smith Holdings	FTSE 250	1,474.00	1,180.4
BREE	Breedon Group		347.00	1,176.0
QLT	Quilter	FTSE 250	83.15	1,167.5
CEY	Centamin	FTSE 250	100.20	1,158.8
PFD	Premier Foods	FTSE 250	133.00	1,153.9
VEIL	Vietnam Enterprise Investments Ltd	FTSE 250	548.00	1,129.8
BRWM	BlackRock World Mining Trust	FTSE 250	594.00	1,122.8
VSVS	Vesuvius	FTSE 250	412.80	1,119.6
GAMA	Gamma Communications	FTSE AIM	1,154.00	1,117.8
PAG	Paragon Banking Group	FTSE 250	493.00	1,117.5
SPT	Spirent Communications	FTSE 250	179.50	1,098.1
YOU	YouGov	FTSE AIM	980.00	1,092.5
COA	Coats Group	FTSE 250	68.20	1,089.7
HRI	Herald Investment Trust	FTSE 250	1,790.00	1,089.4
EDIN	Edinburgh Investment Trust	FTSE 250	656.00	1,086.9
JTC	JTC	FTSE 250	717.00	1,068.8
RICA	Ruffer Investment Company Ltd	FTSE 250	281.00	1,065.0
ASL	Aberforth Smaller Companies Trust	FTSE 250	1,250.00	1,061.4
IPX	IMPAX Asset Management Group	FTSE AIM	789.00	1,046.2
SMS	Smart Metering Systems	FTSE AIM	783.00	1,044.5
ATT	Allianz Technology Trust	FTSE 250	261.00	1,043.5
LWDB	Law Debenture Corp	FTSE 250	800.00	1,037.2
BBGI	Bilfinger Berger Global Infrastructure SICAV SA	FTSE 250	145.20	1,035.8
SYNC	Syncona Ltd	FTSE 250	153.60	1,028.1
FCSS	Fidelity China Special Situations	FTSE 250	208.00	1,017.8
N91	Ninety One	FTSE 250	162.10	1,009.2
SEIT	SDCL Energy Efficiency Income Trust	FTSE 250	90.70	1,005.6
ASCL	Ascential	FTSE 250	227.40	1,001.1
BOCH	Bank of Cyprus Holdings		222.00	990.6
BPCP	BioPharma Credit		74.90	987.7
SUPR	Supermarket Income Reit	FTSE 250	79.10	983.5
SONG+SONC	Hipgnosis Songs Fund Ltd	FTSE 250	80.70	975.8
WG.	Wood Group (John)	FTSE 250	140.30	970.7
ALPH	Alpha Group International	FTSE AIM	2,240.00	970.4
WKP	Workspace Group	FTSE 250	504.00	965.9
MUT	Murray Income Trust	FTSE 250	848.00	962.5
HTWS	Helios Towers	FTSE 250	90.00	945.9
SRE	Sirius Real Estate Ltd	FTSE 250	79.65	936.6
SAIN	Scottish American Investment Co	FTSE 250	525.00	927.9
JHD	James Halstead	FTSE AIM	214.00	926.2
JDW	Wetherspoon (JD)	FTSE 250	710.50	914.8
SPI	Spire Healthcare Group	FTSE 250	226.00	913.3
RWS	RWS Holdings	FTSE AIM	234.40	912.9
AGT	AVI Global Trust	FTSE 250	189.80	911.3
JUST	Just Group	FTSE 250	87.60	909.9
FUTR	Future	FTSE 250	752.50	909.5
POLY	Polymetal International		190.00	899.9
TRY	TR Property Investment Trust	FTSE 250	282.50	896.5
ATG	Auction Technology Group	FTSE 250	740.00	896.4
FSV	Fidelity Special Values	FTSE 250	272.00	881.5
FAN	Volution Group	FTSE 250	443.20	876.1
CKN	Clarkson	FTSE 250	2,845.00	871.4
AWE	Alphawave IP Group		124.00	867.8
MGNS	Morgan Sindall	FTSE 250	1,830.00	866.5
DAL	Dalata Hotel Group Ltd		387.00	862.5
REDD	Redde Northgate	FTSE 250	374.50	858.4
BIG	Big Technologies	FTSE AIM	295.00	856.8
IHP	IntegraFin Holdings	FTSE 250	258.60	856.8
EMIS	EMIS Group	FTSE AIM	1,350.00	854.7
FGP	FirstGroup	FTSE 250	115.50	833.0
MGAM	Morgan Advanced Materials	FTSE 250	290.00	827.6
OCI	Oakley Capital Investments Ltd		468.50	826.5
GRID	Gresham House Energy Storage Fund		152.20	823.8
SQZ	Serica Energy	FTSE AIM	214.00	819.7
BBH	Bellevue Healthcare Trust	FTSE 250	149.00	818.7
CRE	Conduit Holdings Ltd		495.50	815.0
DEC	Diversified Energy Company	FTSE 250	83.85	814.5
APAX	APAX Global Alpha Ltd	FTSE 250	165.20	811.3
BCG	Baltic Classifieds Group	FTSE 250	162.60	808.8
PZC	PZ Cussons	FTSE 250	188.00	806.0
THG	THG		61.52	799.3
LTG	Learning Technologies Group	FTSE AIM	100.50	795.1
BSIF	Bluefield Solar Income Fund Ltd	FTSE 250	129.40	791.2
ICGT	ICG Enterprise Trust	FTSE 250	1,156.00	786.9
GEN	Genuit Group	FTSE 250	315.00	784.9
EOT	European Opportunities Trust	FTSE 250	780.00	784.8
YCA	Yellow Cake	FTSE AIM	395.00	782.5
MRCH	Merchants Trust	FTSE 250	550.00	781.2
JLEN	JLEN Environmental Assets Group Ltd	FTSE 250	117.00	774.0
SDP	Schroder AsiaPacific Fund	FTSE 250	490.50	773.7
UPR	Uniphar	FTSE AIM	284.00	770.5
DSCV	Discoverie Group	FTSE 250	788.00	759.3
MSLH	Marshalls	FTSE 250	299.80	758.4
GSCT	Global Smaller Companies Trust	FTSE 250	142.00	750.6
GBG	GB Group	FTSE AIM	295.00	744.9
NFG	Next 15 Group	FTSE AIM	746.00	740.0
JFJ	JPMorgan Japanese Investment Trust	FTSE 250	480.50	739.0
FDM	FDM Group Holdings	FTSE 250	674.00	736.0
CHG	Chemring Group	FTSE 250	259.00	734.5
GCP	GCP Infrastructure Investments Ltd	FTSE 250	82.60	730.4
NBPE	NB Private Equity Partners Ltd	FTSE 250	1,554.00	726.7
TFIF	TwentyFour Income Fund Ltd	FTSE 250	101.20	726.7
SNR	Senior	FTSE 250	172.40	723.1
TGA	Thungela Resources Ltd		532.80	711.8
SFOR	S4 Capital		122.80	705.3
TMPL	Temple Bar Investment Trust	FTSE 250	226.00	700.2
VOF	VinaCapital Vietnam Opportunity Fund Ltd	FTSE 250	434.00	698.3
ICGC	Irish Continental Group		404.00	690.3
BGFD	Baillie Gifford Japan Trust	FTSE 250	731.00	684.4
UKCM	UK Commercial Property Reit Ltd	FTSE 250	52.00	675.7
APEO	Abrdn Private Equity Opportunities Trust	FTSE 250	434.00	667.3
TIFS	TI Fluid Systems	FTSE 250	127.80	664.9
WPS	W.A.G Payment Solutions	FTSE 250	95.80	660.0
HFG	Hilton Food Group	FTSE 250	730.00	653.4
SOI	Schroder Oriental Income Fund Ltd	FTSE 250	254.00	652.7
NEX	National Express Group	FTSE 250	105.70	649.1
FSFL	Foresight Solar Fund Ltd	FTSE 250	106.20	647.8
CORD	Cordiant Digital Infrastructure Ltd		83.40	644.3
SHED	Urban Logistics REIT	FTSE 250	135.80	640.9
IBST	Ibstock	FTSE 250	162.60	638.8
BRSC	BlackRock Smaller Companies Trust	FTSE 250	1,308.00	636.8
ELM	Elementis	FTSE 250	108.60	634.3
PRTC	Puretech Health	FTSE 250	227.00	632.1
JEDT	JPMorgan European Discovery Trust	FTSE 250	401.00	631.5
CRST	Crest Nicholson Holdings Ltd	FTSE 250	244.80	628.9
ESCT	The European Smaller Companies Trust	FTSE 250	156.00	625.4
JII	JPMorgan Indian Investment Trust	FTSE 250	824.00	617.2
CRN	Cairn Homes		89.50	613.3
YNGA	Young & Co's Brewery	FTSE AIM	1,185.00	605.9
YNGN	Young & Co's Brewery	FTSE AIM	807.00	605.9
JDG	Judges Scientific	FTSE AIM	9,440.00	601.8
NESF	NextEnergy Solar Fund Ltd	FTSE 250	102.00	601.7
IPO	IP Group	FTSE 250	57.90	599.4
THRG	Blackrock Throgmorton Trust	FTSE 250	586.00	592.0
HSL	Henderson Smaller Companies Investment Trust	FTSE 250	792.00	591.6
PEYS	Princess Private Equity Holding Ltd		849.00	587.1
JUP	Jupiter Fund Management	FTSE 250	106.70	581.5
RNWH	Renew Holdings	FTSE AIM	733.00	580.1
CURY	Currys	FTSE 250	50.95	577.5
VCP	Victoria	FTSE AIM	502.00	577.3
EWI	Edinburgh Worldwide Investment Trust	FTSE 250	148.00	576.3
BCPT	Balanced Commercial Property Trust Ltd	FTSE 250	81.80	573.9
CWR	Ceres Power Holdings	FTSE AIM	297.80	573.5
BAG	Barr (AG)	FTSE 250	508.00	569.1
FTSE 250 automatic entry position			
FXPO	Ferrexpo	FTSE 250	94.25	563.7
CCR	C&C Group	FTSE 250	143.00	562.0
VANQ	Vanquis Banking Group	FTSE 250	221.00	561.0
ORIT	Octopus Renewables Infrastructure Trust	FTSE 250	98.90	558.7
ESNT	Essentra	FTSE 250	184.40	556.3
ESP	Empiric Student Property	FTSE Small Cap	91.80	553.9
CPI	Capita	FTSE Small Cap	32.88	553.8
TM17	Team17 Group	FTSE AIM	379.00	552.6
BRGE	BlackRock Greater Europe Investment Trust	FTSE 250	542.00	547.4
CLI	CLS Holdings	FTSE 250	137.40	545.8
AFM	Alpha Financial Markets Consulting	FTSE AIM	452.00	544.7
DGI9	Digital 9 Infrastructure	FTSE 250	62.70	542.5
TYMN	Tyman	FTSE Small Cap	273.50	536.9
BAKK	Bakkavor Group	FTSE 250	92.20	534.2
FEML	Fidelity Emerging Markets Ltd	FTSE 250	580.50	528.8
RSG	Resolute Mining Ltd		24.80	528.0
MEGP	Me Group International	FTSE Small Cap	139.00	525.5
BOO	Boohoo Group	FTSE AIM	41.42	525.4
POLR	Polar Capital Holdings	FTSE AIM	514.00	520.1
KLR	Keller Group	FTSE 250	704.00	512.3
ERGO	Ergomed	FTSE AIM	1,004.00	509.8
FDP	FD Technologies	FTSE AIM	1,804.00	506.3
SOLG	SolGold		16.84	505.5
STEM	SThree	FTSE 250	375.00	504.2
NAS	North Atlantic Smaller Companies Inv Trust	FTSE Small Cap	3,670.00	497.1
MRL	Marlowe	FTSE AIM	518.00	496.7
CMCX	CMC Markets	FTSE 250	177.00	495.3
THRL	Target Healthcare REIT Ltd	FTSE 250	79.50	493.1
GSF	Gore Street Energy Storage Fund	FTSE Small Cap	102.40	493.0
MLI	Industrials Reit Ltd	FTSE Small Cap	167.00	491.8
LIO	Liontrust Asset Management	FTSE 250	750.00	487.0
SHI	SIG	FTSE Small Cap	41.15	486.2
PHI	Pacific Horizon Investment Trust	FTSE 250	531.00	485.2
CSH	Civitas Social Housing	FTSE Small Cap	79.90	484.5
AMS	Advanced Medical Solutions Group	FTSE AIM	223.00	483.8
FSG	Foresight Group Holdings Ltd	FTSE Small Cap	416.00	483.7
EBOX	Tritax Eurobox	FTSE 250	59.90	483.2
PRSR	PRS REIT	FTSE Small Cap	86.80	476.8
ALFA	Alfa Financial Software Holdings	FTSE Small Cap	160.50	475.5
CRW	Craneware	FTSE AIM	1,320.00	467.5
MOON	Moonpig Group	FTSE Small Cap	134.90	461.5
ADT1	Adriatic Metals		168.00	460.1
JSG	Johnson Service Group	FTSE AIM	109.00	460.0
PPH	PPHE Hotel Group Ltd	FTSE Small Cap	1,080.00	457.5
RNK	Rank Group	FTSE Small Cap	97.00	454.4
BOWL	Hollywood Bowl Group	FTSE Small Cap	263.00	451.6
MWY	Mid Wynd International Inv Trust	FTSE Small Cap	699.00	450.5
ABDP	AB Dynamics	FTSE AIM	1,965.00	450.0
GROW	Molten Ventures	FTSE 250	293.80	449.5
BUT	Brunner Investment Trust	FTSE Small Cap	1,052.50	449.3
ATYM	Atalaya Mining	FTSE AIM	321.00	449.0
PAC	Pacific Assets Trust	FTSE Small Cap	371.00	448.8
USA	Baillie Gifford US Growth Trust	FTSE Small Cap	146.60	447.4
PCFT	Polar Capital Global Financials Trust	FTSE Small Cap	137.60	445.0
UEM	Utilico Emerging Markets Ltd	FTSE Small Cap	220.00	444.9
HFD	Halfords Group	FTSE Small Cap	202.80	444.0
DGN	Asia Dragon Trust	FTSE Small Cap	378.00	441.8
